phrase, times used, lines used
['TO YOU'], 2, ['1.479', '1.478']
['The title', 'Title: The'], 2, ['1.40', '1.25']
['THIS EBOOK'], 2, ['1.424', '1.478']
['This is'], 2, ['1.285', '1.314']
['United States', 'United States]'], 2, ['1.437', '1.54']
['WARRANTIES OF'], 2, ['1.479', '1.481']
['Web sites'], 2, ['1.275', '1.279']
['You can'], 2, ['1.393', '1.14']
['a copyright'], 2, ['1.452', '1.260']
['a long'], 2, ['1.103', '1.135']
['about Project'], 2, ['1.279', '1.299']
['agree to'], 2, ['1.528', '1.426']
['all other'], 2, ['1.239', '1.502']
['all the'], 2, ['1.56', '1.139']
['and any'], 2, ['1.449', '1.491']
['and hold'], 2, ['1.490', '1.225']
['and may'], 2, ['1.561', '1.562']
['and of'], 2, ['1.233', '1.224']
['and that'], 2, ['1.235', '1.237']
['any eBook'], 2, ['1.303', '1.284']
['as the'], 2, ['1.56', '1.286']
['as to'], 2, ['1.180', '1.98']
['as we'], 2, ['1.226', '1.307']
['at this'], 2, ['1.196', '1.62']
['be made'], 2, ['1.354', '1.370']
['be the'], 2, ['1.7', '1.213']
['can get'], 2, ['1.393', '1.285']
['characters may'], 2, ['1.519', '1.517']
['circumstances of'], 2, ['1.198', '1.219']
['compliance with'], 2, ['1.130', '1.261']
['copy and'], 2, ['1.438', '1.441']
['copy of'], 2, ['1.529', '1.418']
['days of'], 2, ['1.468', '1.429']
['distribution of'], 2, ['1.495', '1.492']
['do not'], 2, ['1.484', '1.260']
['donations from'], 2, ['1.366', '1.364']
['eBook in'], 2, ['1.530', '1.508']
['eBooks are'], 2, ['1.258', '1.561']
['eBooks in'], 2, ['1.308', '1.261']
['endeavoured to'], 2, ['1.206', '1.141']
['for their'], 2, ['1.106', '1.138']
['from all'], 2, ['1.234', '1.493']
['from people'], 2, ['1.340', '1.364']
['from the'], 2, ['1.94', '1.128']
['have been'], 2, ['1.223', '1.211']
['his Assent'], 2, ['1.146', '1.119']
['if there'], 2, ['1.417', '1.371']
['in a'], 2, ['1.178', '1.43']
['in any'], 2, ['1.49', '1.562']
['is a'], 2, ['1.435', '1.562']
['is at'], 2, ['1.196', '1.270']
['is not'], 2, ['1.360', '1.419']
['is thus'], 2, ['1.212', '1.48']
['legal fees,'], 2, ['1.494', '1.462']
['may not'], 2, ['1.486', '1.562']
['million dollars'], 2, ['1.301', '1.307']
['necessity, which', 'necessity which'], 2, ['1.108', '1.225']
['not remove,', 'not remove'], 2, ['1.506', '1.8']
['number of'], 2, ['1.547', '1.315']
['not be'], 2, ['1.100', '1.562']
['of Great'], 2, ['1.109', '1.236']
['of their'], 2, ['1.150', '1.128']
['official release'], 2, ['1.264', '1.270']
['our eBooks'], 2, ['1.251', '1.263']
['requires that'], 2, ['1.506', '1.87']
['should not'], 2, ['1.100', '1.61']
['software or'], 2, ['1.564', '1.557']
['tell us'], 2, ['1.417', '1.265']
['that all'], 2, ['1.235', '1.90']
['the Foundation'], 2, ['1.459', '1.536']
['the State'], 2, ['1.235', '1.138']
['the US'], 2, ['1.259', '1.385']
['the eBook'], 2, ['1.533', '1.524']
['the most'], 2, ['1.114', '1.211']
['the official'], 2, ['1.266', '1.264']
['them and'], 2, ['1.125', '1.235']
['them to'], 2, ['1.88', '1.108']
['themselves by'], 2, ['1.102', '1.203']
['these are'], 2, ['1.92', '1.350']
['they should'], 2, ['1.168', '1.87']
['time to'], 2, ['1.217', '1.471']
['to a'], 2, ['1.161', '1.112']
['to do'], 2, ['1.239', '1.273']
['to render'], 2, ['1.158', '1.180']
['to secure'], 2, ['1.93', '1.336']
['to their'], 2, ['1.163', '1.220']
['to which'], 2, ['1.103', '1.85']
['us to', 'use to'], 2, ['1.161', '1.538']
['us if'], 2, ['1.381', '1.417']
['which they'], 2, ['1.103', '1.168']
['will be'], 2, ['1.388', '1.354']
['wish to'], 2, ['1.441', '1.273']
['within that'], 2, ['1.53', '1.470']
['your state', 'your state.'], 2, ['1.355', '1.360']
['you may'], 2, ['1.459', '1.422']
['you wish', 'you wish,'], 2, ['1.441', '1.508']
